sku,date,qty_actual,ExtraTrees_forecast,GradientBoosting_forecast,LSTM_forecast,RandomForest_forecast
4807788526762,2022-08-01,177.0,,,,
4807788526762,2022-09-01,174.0,,,,
4807788526762,2022-10-01,204.0,,,,
4807788526762,2022-11-01,211.0,,,,
4807788526762,2022-12-01,223.0,,,,
4807788526762,2023-01-01,132.0,,,,
4807788526762,2023-02-01,130.0,,,,
4807788526762,2023-03-01,166.0,,,,
4807788526762,2023-04-01,62.0,,,,
4807788526762,2023-05-01,192.0,,,,
4807788526762,2023-06-01,237.0,,,,
4807788526762,2023-07-01,95.0,,,,
4807788526762,2023-08-01,86.0,,,,
4807788526762,2023-09-01,166.0,,,,
4807788526762,2023-10-01,134.0,,,,
4807788526762,2023-11-01,136.0,,,,
4807788526762,2023-12-01,168.0,,,,
4807788526762,2024-01-01,189.0,,,,
4807788526762,2024-02-01,141.0,,,,
4807788526762,2024-03-01,208.0,,,,
4807788526762,2024-04-01,51.0,,,,
4807788526762,2024-05-01,19.0,,,,
4807788526762,2024-06-01,60.0,,,,
4807788526762,2024-07-01,85.0,,,,
4807788526762,2024-08-01,81.0,,,,
4807788526762,2024-09-01,52.0,,,,
4807788526762,2024-10-01,116.0,,,,
4807788526762,2024-11-01,118.0,,,,
4807788526762,2024-12-01,158.0,,,,
4807788526762,2025-01-01,89.0,,,,
4807788526762,2025-02-01,70.0,,,,
4807788526762,2025-03-01,59.0,,,,
4807788526762,2025-04-01,,55.18777633086588,45.817729042025,87.5783208544189,93.71617675690705
4807788526762,2025-05-01,,61.97004314147913,60.50562268209751,87.9769465762654,92.78082447024568
4807788526762,2025-06-01,,64.53134133590358,60.238602747175946,92.38628692933692,89.84544693567317
4807788526762,2025-07-01,,67.17737516412633,62.77272828303434,100.0173620046961,93.36759661751874
4807788526762,2025-08-01,,70.96203860045213,71.91784911349392,101.56566472201555,98.80644355490502
4807788526762,2025-09-01,,73.05598983375657,68.91667679787022,103.61946486008516,101.58724591252312
480778853619,2022-05-01,31.0,,,,
480778853619,2022-06-01,112.0,,,,
480778853619,2022-07-01,43.0,,,,
480778853619,2022-08-01,74.0,,,,
480778853619,2022-09-01,71.0,,,,
480778853619,2022-10-01,63.0,,,,
480778853619,2022-11-01,124.0,,,,
480778853619,2022-12-01,34.0,,,,
480778853619,2023-01-01,97.0,,,,
480778853619,2023-02-01,40.0,,,,
480778853619,2023-03-01,97.0,,,,
480778853619,2023-04-01,81.0,,,,
480778853619,2023-05-01,102.0,,,,
480778853619,2023-06-01,193.0,,,,
480778853619,2023-07-01,29.0,,,,
480778853619,2023-08-01,56.0,,,,
480778853619,2023-09-01,43.0,,,,
480778853619,2023-10-01,66.0,,,,
480778853619,2023-11-01,99.0,,,,
480778853619,2023-12-01,69.0,,,,
480778853619,2024-01-01,123.0,,,,
480778853619,2024-02-01,49.0,,,,
480778853619,2024-03-01,96.0,,,,
480778853619,2024-04-01,70.0,,,,
480778853619,2024-05-01,55.0,,,,
480778853619,2024-06-01,63.0,,,,
480778853619,2024-07-01,46.0,,,,
480778853619,2024-08-01,21.0,,,,
480778853619,2024-09-01,24.0,,,,
480778853619,2024-10-01,0.0,,,,
480778853619,2024-11-01,0.0,,,,
480778853619,2024-12-01,4.0,,,,
480778853619,2025-01-01,0.0,,,,
480778853619,2025-02-01,10.0,,,,
480778853619,2025-03-01,12.0,,,,
4807788559593,2022-05-01,117.0,,,,
4807788559593,2022-06-01,108.0,,,,
4807788559593,2022-07-01,163.0,,,,
4807788559593,2022-08-01,152.0,,,,
4807788559593,2022-09-01,160.0,,,,
4807788559593,2022-10-01,205.0,,,,
4807788559593,2022-11-01,201.0,,,,
4807788559593,2022-12-01,127.0,,,,
4807788559593,2023-01-01,180.0,,,,
4807788559593,2023-02-01,111.0,,,,
4807788559593,2023-03-01,72.0,,,,
4807788559593,2023-04-01,28.0,,,,
4807788559593,2023-05-01,98.0,,,,
