month,category,total_sales,total_qty
2023-02,SPECIAL CATEGORY 1,619.6,23.0
2023-02,VITAMINS,35658.89,2401.0
2023-02,WOUND CARE,11913.34,98.0
2023-03,ADULT MILK,14987.029999999999,156.0
2023-03,ANTIBIOTICS,51954.37,1441.0
2023-03,ANTIDIABETICS,16894.35,814.0
2023-03,ASSISTIVE DEVICE,59103.11,50.0
2023-03,BEVERAGES,5838.5,204.0
2023-03,CARDIOVASCULAR,52816.29,4992.0
2023-03,COLD CHAIN,220.0,1.0
2023-03,COTTONS AND HYGIENE,10767.0,228.0
2023-03,DERMATOLOGICALS,5753.0,50.0
2023-03,DIAGNOSTIC,3125.0,57.0
2023-03,DIAPERS,12740.09,72.0
2023-03,DISINFECTANT,5789.35,49.0
2023-03,DISPOSABLES,5489.38,134.0
2023-03,EENT,2289.25,21.0
2023-03,ELECTRONIC MEDICAL DEVICES,28269.39,20.0
2023-03,FOOD SUPPLEMENTS,3699.38,197.0
2023-03,GALENICALS AND SOLUTIONS,4342.0199999999995,90.0
2023-03,GIT,16690.31,647.0
2023-03,GUT AND HORMONES,24287.12,905.0
2023-03,HAIR CARE,1908.9,29.0
2023-03,HOME REMEDY,3248.2,48.0
2023-03,NEEDLES AND TUBINGS,984.8,59.0
2023-03,NEUROLOGICAL DRUGS,2206.56,134.0
2023-03,ORAL CARE,4759.75,40.0
2023-03,ORTHO SUPPORT,737.5,14.0
2023-03,PAIN MANAGEMENT,40967.33,2546.0
2023-03,PERSONAL PROTECTIVE EQUIPMENT,823.56,8.0
2023-03,"PLASTIC, GLASSWARE, AND STAINLESS",899.35,12.0
2023-03,PROMO PACKS,1819.6100000000001,35.0
2023-03,RESPIRATORY,62149.04,1853.0
2023-03,SKIN AND BODY,11964.22,171.0
2023-03,SPECIAL CATEGORY 1,500.40000000000003,29.0
2023-03,VITAMINS,41245.8,3059.0
2023-03,WOUND CARE,3032.86,244.0
2023-04,ADULT MILK,3713.56,229.0
2023-04,ANTIBIOTICS,44398.36,909.0
2023-04,ANTIDIABETICS,15307.49,889.0
2023-04,ASSISTIVE DEVICE,32659.93,14.0
2023-04,BEVERAGES,5085.0,261.0
2023-04,CARDIOVASCULAR,35772.26,4032.0
2023-04,COTTONS AND HYGIENE,5511.0,131.0
2023-04,DERMATOLOGICALS,5140.54,70.0
2023-04,DIAGNOSTIC,600.0,23.0
2023-04,DIAPERS,14038.87,77.0
2023-04,DISINFECTANT,7712.0,56.0
2023-04,DISPOSABLES,4882.57,105.0
2023-04,EENT,2499.88,13.0
2023-04,ELECTRONIC MEDICAL DEVICES,11704.43,11.0
2023-04,FOOD,255.0,4.0
2023-04,FOOD SUPPLEMENTS,1727.15,50.0
2023-04,GALENICALS AND SOLUTIONS,2302.17,45.0
2023-04,GIT,14677.42,601.0
2023-04,GUT AND HORMONES,29481.22,1113.0
2023-04,HAIR CARE,519.0,8.0
2023-04,HOME REMEDY,4365.1,61.0
2023-04,MANUAL MEDICAL DEVICES,2400.0,2.0
2023-04,NEEDLES AND TUBINGS,770.35,48.0
2023-04,NEUROLOGICAL DRUGS,2632.43,74.0
2023-04,ORAL CARE,3001.0,35.0
2023-04,ORTHO SUPPORT,626.0,8.0
2023-04,PAIN MANAGEMENT,32241.36,1785.0
2023-04,PERSONAL PROTECTIVE EQUIPMENT,789.28,2.0
2023-04,"PLASTIC, GLASSWARE, AND STAINLESS",619.55,11.0
2023-04,PROMO PACKS,1032.82,79.0
2023-04,RESPIRATORY,59033.62,1701.0
2023-04,SKIN AND BODY,9473.22,156.0
2023-04,SPECIAL CATEGORY 1,328.5,9.0
2023-04,VITAMINS,36716.18,2481.0
2023-04,WOUND CARE,2989.39,115.0
2023-05,ADULT MILK,9423.029999999999,251.0
2023-05,ANTIBIOTICS,50931.88,1478.0
2023-05,ANTIDIABETICS,17979.17,1067.0
2023-05,ASSISTIVE DEVICE,78680.59,22.0
2023-05,BEVERAGES,10233.8,316.0
2023-05,CARDIOVASCULAR,38586.08,4862.0
2023-05,COTTONS AND HYGIENE,9002.0,214.0
2023-05,DERMATOLOGICALS,4777.53,41.0
2023-05,DIAGNOSTIC,530.0,37.0
2023-05,DIAPERS,12420.68,82.0
2023-05,DISINFECTANT,5779.1,65.0
2023-05,DISPOSABLES,3534.44,92.0
2023-05,EENT,2399.83,12.0
