anchor,complement,lift,confidence_pct,support_pct,pair_tx
NEBIL 5MG (NEBIVOLOL) TAB,REVICON FORTE (MULTIVITAMINS + MINERALS + AMINO ACIDS) TAB,20.2410893071686,10.57,0.09,24
NEBIL 5MG (NEBIVOLOL) TAB,ATENURIX (FEBUXOSTAT) 40MG FCT,17.738756837875783,12.78,0.11,29
NEBIL 5MG (NEBIVOLOL) TAB,TRAJENTA (LINAGLIPTIN) 5MG TAB,9.950926586764453,7.05,0.06,16
NEBIL 5MG (NEBIVOLOL) TAB,FORXIGA (DAPAGLIFLOZIN) 10MG,6.347534585362083,11.45,0.1,26
ASMACAIRE 2MG/5ML 60ML SYRUP,KLARYTH (CLARITHROMYCIN) 250MG/5ML SUSP 35ML,23.60305105853051,10.27,0.06,15
ASMACAIRE 2MG/5ML 60ML SYRUP,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,18.68827693066169,28.77,0.17,42
KLARYTH (CLARITHROMYCIN) 250MG/5ML SUSP 35ML,ASMACAIRE 2MG/5ML 60ML SYRUP,23.60305105853051,13.64,0.06,15
KLARYTH (CLARITHROMYCIN) 250MG/5ML SUSP 35ML,OHHIRA&#039;S RED OMX PROBIOTICS CAP,6.878334240609688,13.64,0.06,15
FEMME INTERFOLDED PAPER TOWEL 1PLY,SANICARE CLEANSING WIPES - ALOE 80 SHEETS,22.638926870668115,11.38,0.08,19
SANICARE CLEANSING WIPES - ALOE 80 SHEETS,FEMME INTERFOLDED PAPER TOWEL 1PLY,22.638926870668115,14.96,0.08,19
AMLOTHIX (AMLODIPINE) 5MG TAB,NOVASARTAN (LOSARTAN K) 50MG FC TAB,21.49286191604398,15.05,0.06,14
NOVASARTAN (LOSARTAN K) 50MG FC TAB,AMLOTHIX (AMLODIPINE) 5MG TAB,21.49286191604398,7.91,0.06,14
SOLMUX (CARBOCISTEINE) 500MG CAP,CENTRUM SILVER ADV TAB 1s,19.25409523809524,11.43,0.06,16
BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,ASMACAIRE 2MG/5ML 60ML SYRUP,18.68827693066169,10.8,0.17,42
BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,BREZU (PROCATEROL) 5MCG/ML 60ML SYR,11.057703877919378,8.23,0.13,32
BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,APPEVIT 120ML SYR,10.752663770942291,6.17,0.09,24
BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,OHHIRA&#039;S RED OMX PROBIOTICS CAP,5.57575337756364,11.05,0.17,43
TRIMEBET (TRIMETAZIDINE) 35G TAB,KARVIDOL (CARVEDILOL) 25MG TAB,15.617529445979349,5.69,0.07,17
TRIMEBET (TRIMETAZIDINE) 35G TAB,GIRAN-8 (CANDESARTAN) 8MG TAB,13.758808431204791,7.02,0.08,21
TRIMEBET (TRIMETAZIDINE) 35G TAB,CLOHEAL (CLOPIDOGREL) 75MG TAB,12.587846011527787,4.68,0.06,14
TRIMEBET (TRIMETAZIDINE) 35G TAB,FEBUDAY-40 (FEBUXOSTAT) 40MG TAB,7.818882324341049,7.02,0.08,21
TRIMEBET (TRIMETAZIDINE) 35G TAB,CALIPTROL (ATORVASTATIN) 40MG,6.408977793276165,5.35,0.06,16
VIVALYTE E-DRINK APPLE 250ML,VIVALYTE E-DRINK ORANGE 250ML,15.343655130540377,8.74,0.06,16
VIVALYTE E-DRINK ORANGE 250ML,VIVALYTE E-DRINK APPLE 250ML,15.343655130540377,11.11,0.06,16
RETASAR (LOSARTAN POTASSIUM) 50MG,RETAVASC (AMLODIPINE) 10MG TAB,14.739827077472038,6.88,0.07,17
RETAVASC (AMLODIPINE) 10MG TAB,RETASAR (LOSARTAN POTASSIUM) 50MG,14.739827077472038,14.41,0.07,17
FORXIGA (DAPAGLIFLOZIN) 10MG,KARVIDOL (CARVEDILOL) 25MG TAB,14.457093821510295,5.26,0.09,24
FORXIGA (DAPAGLIFLOZIN) 10MG,SPIRODEN (SPIRONOLACTONE) 25MG TAB,13.265152575587905,9.87,0.18,45
FORXIGA (DAPAGLIFLOZIN) 10MG,GIRAN-8 (CANDESARTAN) 8MG TAB,12.458503331973343,6.36,0.11,29
FORXIGA (DAPAGLIFLOZIN) 10MG,B-PLEX (VIT B1+B6+B12) CAP,12.396323868882732,3.73,0.07,17
FORXIGA (DAPAGLIFLOZIN) 10MG,CLOHEAL (CLOPIDOGREL) 75MG TAB,10.022559723777528,3.73,0.07,17
BREZU (PROCATEROL) 5MCG/ML 60ML SYR,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,11.057703877919378,17.02,0.13,32
APPEVIT 120ML SYR,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,10.752663770942291,16.55,0.09,24
ALAXAN FR (IBUPROFEN + PARACETAMOL) CAP,BIOFLU (PENYLEPHINE + CHLORPHENAMINE + PARACETAMOL) TAB,9.659600117612467,13.68,0.1,26
ALAXAN FR (IBUPROFEN + PARACETAMOL) CAP,BIOGESIC (PARACETAMOL) 500MG TAB,4.0019282720074525,8.95,0.07,17
BIOFLU (PENYLEPHINE + CHLORPHENAMINE + PARACETAMOL) TAB,ALAXAN FR (IBUPROFEN + PARACETAMOL) CAP,9.659600117612467,7.26,0.1,26
BIOFLU (PENYLEPHINE + CHLORPHENAMINE + PARACETAMOL) TAB,FLANAX FORTE 550MG TAB,5.064709271738859,4.47,0.06,16
BIOFLU (PENYLEPHINE + CHLORPHENAMINE + PARACETAMOL) TAB,BIOGESIC (PARACETAMOL) 500MG TAB,4.747604686804766,10.61,0.15,38
BIOFLU (PENYLEPHINE + CHLORPHENAMINE + PARACETAMOL) TAB,NEOZEP FORTE (PHENYLEPHRINE HCL + PARACETAMOL) TAB,4.66156319173606,3.91,0.06,14
LE MINERALE 1.5ML,LE MINERALE 600ML,7.162192376123821,11.96,0.14,36
LE MINERALE 600ML,LE MINERALE 1.5ML,7.162192376123821,8.53,0.14,36
OHHIRA&#039;S RED OMX PROBIOTICS CAP,KLARYTH (CLARITHROMYCIN) 250MG/5ML SUSP 35ML,6.878334240609688,2.99,0.06,15
OHHIRA&#039;S RED OMX PROBIOTICS CAP,BACTIV (CO-AMOXICLAV) 457MG/5ML 70ML,5.57575337756364,8.58,0.17,43
BIOGESIC (PARACETAMOL) 500MG TAB,NEOZEP FORTE (PHENYLEPHRINE HCL + PARACETAMOL) TAB,5.274461512773417,4.42,0.1,25
BIOGESIC (PARACETAMOL) 500MG TAB,BIOFLU (PENYLEPHINE + CHLORPHENAMINE + PARACETAMOL) TAB,4.747604686804766,6.73,0.15,38
BIOGESIC (PARACETAMOL) 500MG TAB,ALAXAN FR (IBUPROFEN + PARACETAMOL) CAP,4.0019282720074525,3.01,0.07,17
NEOZEP FORTE (PHENYLEPHRINE HCL + PARACETAMOL) TAB,BIOGESIC (PARACETAMOL) 500MG TAB,5.274461512773417,11.79,0.1,25
NEOZEP FORTE (PHENYLEPHRINE HCL + PARACETAMOL) TAB,BIOFLU (PENYLEPHINE + CHLORPHENAMINE + PARACETAMOL) TAB,4.66156319173606,6.6,0.06,14
FLANAX FORTE 550MG TAB,BIOFLU (PENYLEPHINE + CHLORPHENAMINE + PARACETAMOL) TAB,5.064709271738859,7.17,0.06,16
